keywords,sentence
area tile bathroom sink,"A bathroom with tiled floor and bathing area, with a large double sink and mirror."
room border wall,A room is seen with blue tape on its borders and walls.
want add collection,want to add this to my art collection .
horizon surround sun darkness,darkness surrounds a bright glowing sun as it pops up over the horizon
wind flower close,close up to grass flower in the wind
destroy car collision,remains of a car destroyed by the collision with a train
category politician ceremony award,politician leaving after attending a ceremony to award award category to profession last week .
rear quarter model,rear right quarter of automobile model
jet dock terminal,A passenger jet that has been docked to the terminal.
flower close tree,close up of the flower of a banana tree
upload image product,images of all the artwork being uploaded for packing of products at christmas time .
wave loop break,looping video features waves breaking
weather wall detail,detail of an old weathered stone wall by a blue sky
beauty bring place,flowers always bring beauty to any place
temple pray couple,couple praying in a buddhist temple
landscape forest distance field,autumn landscape in a field with a forest in the distance .
dog lay luggage piece,A piece of luggage with the handle extended with a dog laying next to it
cheese hotdog top,Two hotdogs with cheese and mustard on top of them.
illusion execute form,optical illusion of movement executed in the form of rotating pink and lilac polygons .
instrument walk street,He walked down the street with his instrument.
moor lifeboat harbour,a lifeboat moored in the harbour
businessman travel glass train,young businessman in glasses having a video chat on smart phone while traveling by train
team championship join,will soon join up with the football team for the championships
enter fan wait,fans waiting to enter in the stadium
pillow comforter bed,There is an unmade bed with a comforter and pillows.
tower side light,A large clock tower with blue lights dangling from it's side.
beach sunrise boat,fishing boats on the beach at sunrise on beach with pier in far distance
teenager perform concert,Teenagers are performing a concert in church
stripe wall room,pink and yellow stripes on the walls of this fab dining room
dome top structure,italian gothic structure ... stairs to the top of the dome .
buoy anchor sea,low angle panning shot of a red single buoy anchored in the blue sea
pillow bed queen,fluffy pillows on the queen sized bed
fern foliage flower,ferns and foliage with some flowers .
turtle log sun,lots of turtles sunning on the log .
pretend clothe iron,This little baby is shown pretending to iron her clothes.
lead cyclist take,A cyclist takes the lead after having an inspiring thought.
cover cloud moon,full moon covered by a layer of clouds
hold sharpener hand pencil sharpen,The boy holds the pencil with the left hand and sharpens the pencil with the sharpener with the other.
splash pond duck,duck with green head splashing and cleaning itself on a pond
site labourer work,labourers work at the construction site of apartments .
fly plane pair,a pair of planes flying with smoke behind them
sunrise forest light,a warming light from the sunrise at a beautiful pine forest
breakfast couple cook,An Asian couple is cooking their breakfast.
herd travel sheep,A herd of sheep traveling down a city street.
begin arrive guest,guests arrive in the auditorium before the awards ceremony begins on feb .
kiss counterpart commander depict,visual artist cleans his painting depicting military commander kissing his counterpart .
cheese pizza slice melt,A diner holds a slice of thin crust pizza with vegetables and melted cheese.
rip home roof,a mobile home has its roof ripped off by the wind
blanket cat peak,A cat peaks out from under a blanket.
